video_id,title,category,description,tags,channel,views,likes
V00616,Build a Data Storytelling Project,Data Science,Learn data storytelling from the ground up with hands-on demonstrations. You'll see practical examples involving data cleaning and pandas. You'll also learn how data connects to other important concepts.,"variables, training, data science, numpy, data, data storytelling, machine learning, walkthrough, tutorial, beginners",SoundWave Studio,104522,15728
V00641,Learn Working with DataFrames Step by Step,Data Science,"Get a clear, beginner-friendly explanation of working with dataframes in this video. You'll see practical examples involving seaborn and data. Includes practical tips on insights that you can use right away.","python, data science, functions, working with dataframes, tutorial, statistics, beginners, model, walkthrough, data wrangling",SoundWave Studio,7956,1174
V03709,Docker for Beginners Quick Start Guide,DevOps,"In this tutorial, we explore docker for beginners and how it applies in real projects. You'll see practical examples involving infrastructure and automation. Perfect for anyone looking to strengthen their skills in infrastructure.","walkthrough, containers, deployment pipeline, version control, kubernetes, docker for beginners, tutorial, monitoring, devops",GameDev Central,9556,524
V02367,Web Development Roadmap for Absolute Beginners,Web Development,Follow along as we explain web development roadmap step by step with live coding. You'll see practical examples involving backend and web app. Perfect for anyone looking to strengthen their skills in client-side.,"website, responsive design, web development, web app, web development roadmap, guide, howto",BranchOut Dev,126252,9668
V02756,Responsive Design with CSS Made Simple,CSS,"A practical walkthrough of responsive design with css designed for learners at any level. You'll see practical examples involving layout and html. By the end of this video, you'll be able to apply responsive design confidently in your own projects.","beginners, tutorial, responsive design with css, javascript, css, tips, layout, responsive design",CloudPeak Academy,59882,5374
V02319,Building an Image Classifier: A Practical Guide,Computer Vision,Learn building an image classifier from the ground up with hands-on demonstrations. You'll see practical examples involving artificial intelligence and model. Includes practical tips on neural network that you can use right away.,"building an image classifier, model, tips, computer vision, object detection, training, howto",CyberShield Academy,22204,3229
V04172,Understanding New Gadgets Explained with Examples,Technology,"Get a clear, beginner-friendly explanation of understanding new gadgets in this video. You'll see practical examples involving future technology and digital tools. We wrap up with a short recap of the key hardware concepts covered.","technology, digital tools, gadgets, howto, future technology, beginners, innovation, understanding new gadgets, tips",ByteWise Learning,22686,2170
V04761,Introduction to Understanding Camera Settings,Photography,Learn understanding camera settings from the ground up with hands-on demonstrations. You'll see practical examples involving composition and photo editing. We also cover common mistakes to avoid when working with portrait photography.,"lighting, landscape photography, camera, guide, photo editing, tutorial, photography, understanding camera settings",CareerLaunchpad,108387,6819
V02191,Image Processing Basics Best Practices,Computer Vision,"We take a deep dive into image processing basics, covering the concepts you need to know. You'll see practical examples involving image classification and training. This video is great for building a strong foundation in object detection.","object detection, guide, beginners, artificial intelligence, neural network, image classification, model, computer vision, image processing basics",PixelCraft Studio,3846117,209683
V04715,Esports Highlights Explained Tutorial for Beginners,Gaming,A practical walkthrough of esports highlights explained designed for learners at any level. You'll see practical examples involving console and walkthrough. We also cover common mistakes to avoid when working with game design.,"walkthrough, game review, tips, gameplay, video games, esports highlights explained, gaming, esports",BrightPath Tech,64839,2851
V02868,Understanding JavaScript Basics,JavaScript,"This video walks you through javascript basics with clear, practical examples. You'll see practical examples involving html and functions. By the end of this video, you'll be able to apply async confidently in your own projects.","css, beginners, html, variables, javascript basics, walkthrough, async, functions, javascript, howto",The Dev Journey,2215,119
V03732,The Ultimate Guide to DevOps Tools Overview,DevOps,"This hands-on guide to devops tools overview focuses on practical, real-world usage. You'll see practical examples involving automation and monitoring. By the end of this video, you'll be able to apply devops confidently in your own projects.","beginners, tips, devops tools overview, devops, containers, docker, deployment pipeline",DataMind Lab,96647,11665
V00471,Introduction to Java Explained with Examples,Programming,Learn introduction to java from the ground up with hands-on demonstrations. You'll see practical examples involving software engineering and variables. You'll also learn how loops connects to other important concepts.,"programming, problem solving, loops, howto, software engineering, introduction to java, 2024, variables, python, coding interview",OpsFlow Learning,455369,12637
V02531,Web Performance Optimization Best Practices,Web Development,"We take a deep dive into web performance optimization, covering the concepts you need to know. You'll see practical examples involving website and user interface. We wrap up with a short recap of the key backend concepts covered.","html, server, client-side, walkthrough, web app, web development, web performance optimization, howto",BranchOut Dev,36745,1120
V02212,Build a Introduction to Computer Vision Project,Computer Vision,"Get a clear, beginner-friendly explanation of introduction to computer vision in this video. You'll see practical examples involving machine learning and object detection. Ideal for students and professionals wanting to improve their object detection skills.","training, image classification, introduction to computer vision, opencv, howto, image processing, computer vision, 2024, machine learning",PixelCraft Studio,40025,2800
V00626,Learn Feature Engineering for Data Science Step by Step,Data Science,Follow along as we explain feature engineering for data science step by step with live coding. You'll see practical examples involving data visualization and python. We wrap up with a short recap of the key data analysis concepts covered.,"data visualization, data science, feature engineering for data science, beginners, matplotlib, seaborn, dataset, walkthrough, insights",SoundWave Studio,20240,1784
V04203,Mastering Understanding New Gadgets in 2024,Technology,"We take a deep dive into understanding new gadgets, covering the concepts you need to know. You'll see practical examples involving gadgets and innovation. Includes practical tips on innovation that you can use right away.","innovation, understanding new gadgets, gadgets, howto, technology, guide, hardware, 2024, digital tools, future technology",QueryQuest,42735,1675
V04820,Understanding Home Studio Setup Guide,Music,"This hands-on guide to home studio setup guide focuses on practical, real-world usage. You'll see practical examples involving music production and mastering. You'll also learn how songwriting connects to other important concepts.","instruments, music theory, tips, beats, guide, home studio setup guide, walkthrough, music, music production",VisionaryAI,18320,673
V01875,Mastering Retrieval Augmented Generation in 2024,Generative AI,Learn retrieval augmented generation from the ground up with hands-on demonstrations. You'll see practical examples involving ai content and fine-tuning. You'll also learn how generative ai connects to other important concepts.,"generative ai, fine-tuning, deep learning, guide, beginners, neural network, retrieval augmented generation, prompt engineering",BranchOut Dev,29992,717
V04576,Complete How to Learn Programming Faster Tutorial,Education,"This video breaks down how to learn programming faster into simple, easy-to-follow steps. You'll see practical examples involving students and study tips. We wrap up with a short recap of the key education concepts covered.","self-improvement, study tips, teaching, tutorial, education, how to learn programming faster, beginners, online courses",CareerCompass,50388,3697
V02062,Building a Chatbot with NLP Made Simple,Natural Language Processing,Learn building a chatbot with nlp from the ground up with hands-on demonstrations. You'll see practical examples involving machine learning and language model. Includes practical tips on model that you can use right away.,"tutorial, walkthrough, training, nlp, tokenization, building a chatbot with nlp, natural language processing",CareerLaunchpad,17852,354
V03692,Azure Fundamentals Tutorial for Beginners,Cloud Computing,Follow along as we explain azure fundamentals step by step with live coding. You'll see practical examples involving scalability and cloud computing. Includes practical tips on infrastructure that you can use right away.,"aws, deployment, azure fundamentals, tips, 2024, cloud computing, virtual machines, containers",BrightPath Tech,23397,1327
V02289,Mastering OpenCV Tutorial in 2024,Computer Vision,"Get a clear, beginner-friendly explanation of opencv tutorial in this video. You'll see practical examples involving object detection and image classification. This video is great for building a strong foundation in image processing.","opencv, object detection, opencv tutorial, model, guide, howto, computer vision, image processing, machine learning",EduSpark,3147,65
V04127,Building a Design Portfolio Deep Dive,UI/UX Design,Follow along as we explain building a design portfolio step by step with live coding. You'll see practical examples involving design system and wireframe. Includes practical tips on interface design that you can use right away.,"tips, user experience, user research, ui/ux design, wireframe, ui design, design system, figma, walkthrough, building a design portfolio",CareerLaunchpad,410151,4539
V00371,Python OOP Crash Course,Python,"A practical walkthrough of python oop designed for learners at any level. You'll see practical examples involving dataset and file handling. By the end of this video, you'll be able to apply scripts confidently in your own projects.","projects, file handling, beginners, python, python oop, syntax, 2024, tips, classes, coding",ScriptSchool,12278,1535
V04399,Productivity Tips for Developers: A Practical Guide,Productivity,"In this tutorial, we explore productivity tips for developers and how it applies in real projects. You'll see practical examples involving habits and efficiency. By the end of this video, you'll be able to apply habits confidently in your own projects.","productivity, productivity tips for developers, focus, tips, beginners, work-life balance, goal setting, workflow, time management, guide",DesignDrift,4469,297
V03245,Node.js Basics Interview Questions,Node.js,Follow along as we explain node.js basics step by step with live coding. You'll see practical examples involving css and backend. We wrap up with a short recap of the key express concepts covered.,"howto, node.js basics, node.js, guide, express, api, backend, server, javascript",PixelPerfect UX,20144,771
V01219,Cross Validation in Practice,Machine Learning,A practical walkthrough of cross validation designed for learners at any level. You'll see practical examples involving clustering and training. Includes practical tips on data that you can use right away.,"python, dataset, guide, cross validation, data, machine learning, tips, overfitting, tutorial",StackSmart Academy,13737,1547
V03504,Database Indexing Explained Tips and Tricks,Database,"This hands-on guide to database indexing explained focuses on practical, real-world usage. You'll see practical examples involving schema and database. We also cover common mistakes to avoid when working with indexing.","relational database, data storage, database indexing explained, nosql, walkthrough, howto, database",SoundWave Studio,54143,5524
V03558,Introduction to Databases Quick Start Guide,Database,Follow along as we explain introduction to databases step by step with live coding. You'll see practical examples involving tables and indexing. We also cover common mistakes to avoid when working with query.,"beginners, howto, nosql, introduction to databases, database, schema, relational database, tables, indexing",SoundWave Studio,1416350,96489
V00276,Understanding Python Automation Scripts,Python,"This hands-on guide to python automation scripts focuses on practical, real-world usage. You'll see practical examples involving classes and programming. This video is great for building a strong foundation in python.","guide, loops, object-oriented programming, python, classes, python automation scripts, tutorial, scripts",ScriptSchool,457505,18931
V04551,Effective Study Tips Tips and Tricks,Education,"This video walks you through effective study tips with clear, practical examples. You'll see practical examples involving self-improvement and education. Perfect for anyone looking to strengthen their skills in self-improvement.","study tips, self-improvement, education, walkthrough, howto, learning, effective study tips",CareerCompass,16849,612
V03071,React Basics in Practice,React,Learn react basics from the ground up with hands-on demonstrations. You'll see practical examples involving html and state. We wrap up with a short recap of the key state concepts covered.,"tutorial, react, css, props, walkthrough, jsx, javascript, react basics",PixelCraft Studio,21675,1328
V00196,Python Variables: A Practical Guide,Python,"This hands-on guide to python variables focuses on practical, real-world usage. You'll see practical examples involving exception handling and coding. We wrap up with a short recap of the key objects concepts covered.","syntax, programming, guide, python, tutorial, beginners, variables, python variables, classes, loops",ScriptSchool,71303,6077
V03779,Introduction to DevOps Real World Example,DevOps,"A practical walkthrough of introduction to devops designed for learners at any level. You'll see practical examples involving kubernetes and docker. By the end of this video, you'll be able to apply containers confidently in your own projects.","devops, infrastructure, docker, tips, introduction to devops, tutorial, 2024, ci/cd",WebCraft Studio,21458,2197
V02262,Learn Image Processing Basics Step by Step,Computer Vision,"This hands-on guide to image processing basics focuses on practical, real-world usage. You'll see practical examples involving machine learning and object detection. Includes practical tips on machine learning that you can use right away.","walkthrough, tips, image processing basics, neural network, machine learning, image classification, guide, computer vision",CyberShield Academy,27524,852
V04338,Introduction to Acing the Coding Interview,Career,A practical walkthrough of acing the coding interview designed for learners at any level. You'll see practical examples involving career growth and resume. Ideal for students and professionals wanting to improve their networking skills.,"interview, tips, beginners, acing the coding interview, career change, job market, career growth, career, guide, job search",LearnLoop,2753,190
V01441,Introduction to Artificial Intelligence Full Course,Artificial Intelligence,"This video breaks down introduction to artificial intelligence into simple, easy-to-follow steps. You'll see practical examples involving generative ai and machine learning. We wrap up with a short recap of the key automation concepts covered.","ai, transformers, 2024, training, prediction, tips, introduction to artificial intelligence, automation, natural language processing, artificial intelligence",WebCraft Studio,8279,517
V01126,Advanced Building Your First ML Model Guide,Machine Learning,"This video walks you through building your first ml model with clear, practical examples. You'll see practical examples involving unsupervised learning and training. This video is great for building a strong foundation in data.","decision trees, walkthrough, hyperparameter tuning, howto, programming, building your first ml model, machine learning, random forest, data analysis",ScriptSchool,18965,231
V00677,Advanced Building a Data Pipeline Guide,Data Science,Follow along as we explain building a data pipeline step by step with live coding. You'll see practical examples involving exploratory data analysis and machine learning. This video is great for building a strong foundation in statistics.,"data science, building a data pipeline, training, machine learning, pandas, walkthrough, tutorial, data analysis",CodeCatalyst,20478,824
V02606,Web Performance Optimization for Absolute Beginners,Web Development,A practical walkthrough of web performance optimization designed for learners at any level. You'll see practical examples involving user interface and css. Includes practical tips on web app that you can use right away.,"client-side, backend, frontend, web development, user interface, html, web performance optimization, tips, guide",BranchOut Dev,35670,3235
V03019,Understanding React Context API,React,This tutorial covers react context api using real examples you can follow along with. You'll see practical examples involving html and css. Includes practical tips on css that you can use right away.,"react context api, jsx, props, react, javascript, guide, tips, html, state",AI Explorer,1948,220
V03033,React Basics Project Walkthrough,React,Follow along as we explain react basics step by step with live coding. You'll see practical examples involving components and react. This video is great for building a strong foundation in components.,"beginners, state, react basics, guide, tips, html, css, jsx, components, react",PixelCraft Studio,35415,1440
V00162,Python Classes and Objects for Absolute Beginners,Python,"Get a clear, beginner-friendly explanation of python classes and objects in this video. You'll see practical examples involving python and data. Ideal for students and professionals wanting to improve their exception handling skills.","2024, loops, tips, python, guide, syntax, python classes and objects, data cleaning, projects",ScriptSchool,448108,8617
V02064,Introduction to NLP in Practice,Natural Language Processing,This tutorial covers introduction to nlp using real examples you can follow along with. You'll see practical examples involving tokenization and text data. Perfect for anyone looking to strengthen their skills in model.,"introduction to nlp, tutorial, sentiment analysis, howto, model, artificial intelligence, natural language processing, machine learning",PixelPerfect UX,128077,18134
V03691,Cloud Deployment Explained in Practice,Cloud Computing,"In this tutorial, we explore cloud deployment explained and how it applies in real projects. You'll see practical examples involving cloud computing and containers. We also cover common mistakes to avoid when working with virtual machines.","aws, containers, walkthrough, server, 2024, azure, tutorial, cloud deployment explained, scalability, cloud computing",BrightPath Tech,68225,2439
V01842,Text-to-Image Generation Explained Quick Start Guide,Generative AI,This tutorial covers text-to-image generation explained using real examples you can follow along with. You'll see practical examples involving deep learning and text generation. We also cover common mistakes to avoid when working with fine-tuning.,"generative ai, text-to-image generation explained, tips, howto, ai content, artificial intelligence, prompt engineering, text generation",ByteWise Learning,11219,579
V04559,Complete Effective Study Tips Tutorial,Education,This tutorial covers effective study tips using real examples you can follow along with. You'll see practical examples involving students and self-improvement. This video is great for building a strong foundation in skill building.,"teaching, online courses, study tips, students, howto, education, effective study tips, self-improvement, walkthrough",CareerCompass,18094,1019
V00079,Introduction to Python Multithreading,Python,"Get a clear, beginner-friendly explanation of python multithreading in this video. You'll see practical examples involving coding and functions. We also cover common mistakes to avoid when working with syntax.","tips, exception handling, objects, python, python multithreading, programming, code, functions, walkthrough, object-oriented programming",CodeVerse,384834,18464
V01537,Build a Expert Systems Project,Artificial Intelligence,"This video breaks down expert systems into simple, easy-to-follow steps. You'll see practical examples involving artificial intelligence and transformers. We also cover common mistakes to avoid when working with large language models.","artificial intelligence, model, expert systems, prediction, howto, tutorial, training, transformers, natural language processing, guide",PixelCraft Studio,25539,1650
V02765,CSS Animations Real World Example,CSS,Follow along as we explain css animations step by step with live coding. You'll see practical examples involving styling and flexbox. Perfect for anyone looking to strengthen their skills in layout.,"tutorial, css, layout, css animations, walkthrough, tips, responsive design",EduSpark,47155,1206
V02922,Building a To-Do App with JavaScript Project Walkthrough,JavaScript,"A practical walkthrough of building a to-do app with javascript designed for learners at any level. You'll see practical examples involving events and dom. By the end of this video, you'll be able to apply css confidently in your own projects.","2024, javascript, css, tutorial, events, variables, beginners, async, html, building a to-do app with javascript",The Dev Journey,4134,384
V02173,Tokenization Explained: A Practical Guide,Natural Language Processing,"Get a clear, beginner-friendly explanation of tokenization explained in this video. You'll see practical examples involving language model and tokenization. Includes practical tips on language model that you can use right away.","language model, 2024, natural language processing, tips, sentiment analysis, text data, neural network, tokenization explained, training",TutorialTrail,12361,1031
V04434,Deep Work Strategies in Practice,Productivity,"Get a clear, beginner-friendly explanation of deep work strategies in this video. You'll see practical examples involving workflow and habits. Perfect for anyone looking to strengthen their skills in focus.","productivity, time management, walkthrough, howto, efficiency, workflow, deep work strategies, guide, goal setting, focus",AI Explorer,3133,441
V00568,Problem Solving for Programmers Full Course,Programming,"We take a deep dive into problem solving for programmers, covering the concepts you need to know. You'll see practical examples involving data structures and python. By the end of this video, you'll be able to apply functions confidently in your own projects.","tips, problem solving for programmers, coding interview, beginners, python, programming, functions, algorithms",OpsFlow Learning,408731,25165
V01948,Understanding Retrieval Augmented Generation,Generative AI,A practical walkthrough of retrieval augmented generation designed for learners at any level. You'll see practical examples involving text generation and llms. Includes practical tips on large language models that you can use right away.,"llms, walkthrough, neural network, large language models, generative ai, deep learning, retrieval augmented generation, tutorial, prompt engineering",ByteWise Learning,1000,45
V03384,SQL Joins Explained From Scratch,SQL,"This video walks you through sql joins explained with clear, practical examples. You'll see practical examples involving relational database and database. We also cover common mistakes to avoid when working with joins.","walkthrough, relational database, tutorial, sql joins explained, guide, data storage, tables, sql, query",Quantum Coders,111880,13719
V01253,Introduction to XGBoost,Machine Learning,"This video breaks down xgboost into simple, easy-to-follow steps. You'll see practical examples involving data analysis and random forest. We wrap up with a short recap of the key clustering concepts covered.","unsupervised learning, walkthrough, xgboost, regression, tutorial, clustering, data, machine learning",StackSmart Academy,5164294,241731
V01983,Generative AI for Content Creation: A Practical Guide,Generative AI,This tutorial covers generative ai for content creation using real examples you can follow along with. You'll see practical examples involving llms and artificial intelligence. Ideal for students and professionals wanting to improve their text generation skills.,"howto, neural network, prompt engineering, generative ai for content creation, tutorial, generative ai, fine-tuning, text generation",CloudPeak Academy,23099,1166
V00403,Advanced Python Multithreading Guide,Python,A practical walkthrough of python multithreading designed for learners at any level. You'll see practical examples involving python and exception handling. We also cover common mistakes to avoid when working with code.,"dataset, programming, python, python multithreading, object-oriented programming, 2024, howto, coding, tutorial",ScriptSchool,26030,5633
V03894,Common Cyber Attacks Explained Crash Course,Cybersecurity,"This hands-on guide to common cyber attacks explained focuses on practical, real-world usage. You'll see practical examples involving security and penetration testing. This video is great for building a strong foundation in malware.","howto, network security, beginners, authentication, vulnerability, malware, cybersecurity, common cyber attacks explained, tips",LearnLoop,7091,590
V04435,Goal Setting for Success Full Course,Productivity,"We take a deep dive into goal setting for success, covering the concepts you need to know. You'll see practical examples involving time management and efficiency. By the end of this video, you'll be able to apply efficiency confidently in your own projects.","time management, beginners, productivity, goal setting, goal setting for success, workflow, work-life balance, habits, guide",FitForge Coaching,28880,762
V02317,Convolutional Neural Networks for Vision Real World Example,Computer Vision,This tutorial covers convolutional neural networks for vision using real examples you can follow along with. You'll see practical examples involving neural network and computer vision. We also cover common mistakes to avoid when working with artificial intelligence.,"model, convolutional neural networks for vision, walkthrough, neural network, artificial intelligence, howto, computer vision, image classification",CyberShield Academy,454208,64095
V00688,Building a Data Pipeline in Practice,Data Science,"Follow along as we explain building a data pipeline step by step with live coding. You'll see practical examples involving data analysis and statistics. By the end of this video, you'll be able to apply exploratory data analysis confidently in your own projects.","building a data pipeline, insights, data science, training, tips, exploratory data analysis, matplotlib, data cleaning, howto",CodeCatalyst,83904,4585
V00460,Searching Algorithms Tips and Tricks,Programming,This tutorial covers searching algorithms using real examples you can follow along with. You'll see practical examples involving software engineering and problem solving. We wrap up with a short recap of the key python concepts covered.,"data structures, 2024, programming, searching algorithms, guide, loops, python",DevSage,43933,2554
V00146,Understanding Python String Manipulation,Python,A practical walkthrough of python string manipulation designed for learners at any level. You'll see practical examples involving file handling and classes. We wrap up with a short recap of the key exception handling concepts covered.,"howto, tips, programming, python, python string manipulation, 2024, loops, classes, dataset",WebCraft Studio,46779,2739
V04759,Photography Basics for Beginners Full Course,Photography,"In this tutorial, we explore photography basics for beginners and how it applies in real projects. You'll see practical examples involving photo editing and composition. By the end of this video, you'll be able to apply photo editing confidently in your own projects.","editing software, howto, portrait photography, tutorial, 2024, photo editing, composition, landscape photography, photography, photography basics for beginners",CareerLaunchpad,10458,289
V02755,Introduction to CSS Flexbox Explained,CSS,"This video walks you through css flexbox explained with clear, practical examples. You'll see practical examples involving grid and css. Includes practical tips on layout that you can use right away.","grid, guide, css flexbox explained, styling, beginners, flexbox, javascript, css, tips",GameLogic Studio,68847,2459
V04139,Introduction to UI/UX Design Explained with Examples,UI/UX Design,"In this tutorial, we explore introduction to ui/ux design and how it applies in real projects. You'll see practical examples involving user experience and design system. By the end of this video, you'll be able to apply ui design confidently in your own projects.","walkthrough, interface design, design system, figma, ui/ux design, tutorial, prototype, 2024, introduction to ui/ux design, wireframe",CareerLaunchpad,63278,1710
V04312,Networking Tips for Professionals Made Simple,Career,Follow along as we explain networking tips for professionals step by step with live coding. You'll see practical examples involving professional development and resume. This video is great for building a strong foundation in job market.,"professional development, 2024, career, career change, networking tips for professionals, tips, walkthrough, career growth",AlgoMinds,425249,9066
V01570,Future of Artificial Intelligence From Scratch,Artificial Intelligence,This tutorial covers future of artificial intelligence using real examples you can follow along with. You'll see practical examples involving deep learning and machine learning. This video is great for building a strong foundation in transformers.,"intelligent systems, tips, large language models, 2024, future of artificial intelligence, transformers, machine learning, prediction, artificial intelligence, generative ai",GameDev Central,137835,9018
V01228,Gradient Boosting Explained with Examples,Machine Learning,Follow along as we explain gradient boosting step by step with live coding. You'll see practical examples involving regression and training. You'll also learn how programming connects to other important concepts.,"walkthrough, machine learning, gradient boosting, classification, unsupervised learning, supervised learning, guide, training, random forest, features",ScriptSchool,354337,28013
V03789,Docker for Beginners Made Simple,DevOps,"This hands-on guide to docker for beginners focuses on practical, real-world usage. You'll see practical examples involving docker and infrastructure. This video is great for building a strong foundation in containers.","docker for beginners, ci/cd, infrastructure, beginners, walkthrough, docker, devops, version control, kubernetes, tutorial",DataMind Lab,16547,1005
V02689,HTML for Beginners Made Simple,HTML,Learn html for beginners from the ground up with hands-on demonstrations. You'll see practical examples involving web page and html. This video is great for building a strong foundation in tags.,"beginners, tips, guide, html for beginners, html, markup, tags, css, semantic html",CloudCraft Academy,35707,3385
V02037,Introduction to Text Preprocessing for NLP,Natural Language Processing,Learn text preprocessing for nlp from the ground up with hands-on demonstrations. You'll see practical examples involving model and tokenization. Ideal for students and professionals wanting to improve their sentiment analysis skills.,"artificial intelligence, nlp, text preprocessing for nlp, model, tips, 2024, machine learning, natural language processing, howto, text data",CareerLaunchpad,52463,2707
V01859,Retrieval Augmented Generation in Practice,Generative AI,"In this tutorial, we explore retrieval augmented generation and how it applies in real projects. You'll see practical examples involving llms and fine-tuning. This video is great for building a strong foundation in prompt engineering.","text generation, artificial intelligence, generative ai, fine-tuning, llms, walkthrough, retrieval augmented generation, beginners, neural network, howto",FutureTech Studio,186305,14758
V03491,MongoDB Basics Crash Course,Database,"In this tutorial, we explore mongodb basics and how it applies in real projects. You'll see practical examples involving tables and data storage. Perfect for anyone looking to strengthen their skills in sql.","database, howto, beginners, query, relational database, data storage, tables, walkthrough, mongodb basics",FitForge Coaching,2973253,42292
V03736,Building a CI/CD Pipeline Real World Example,DevOps,Follow along as we explain building a ci/cd pipeline step by step with live coding. You'll see practical examples involving containers and ci/cd. Includes practical tips on docker that you can use right away.,"building a ci/cd pipeline, infrastructure, devops, monitoring, beginners, kubernetes, automation, tips, howto, containers",WebCraft Studio,684201,106219
V00005,Complete Python List Comprehensions Tutorial,Python,"Get a clear, beginner-friendly explanation of python list comprehensions in this video. You'll see practical examples involving coding and programming. Ideal for students and professionals wanting to improve their coding skills.","beginners, tips, dataset, objects, variables, scripts, python, loops, python list comprehensions, programming",CodeVerse,8494,206
V04134,Learn Building a Design Portfolio Step by Step,UI/UX Design,"We take a deep dive into building a design portfolio, covering the concepts you need to know. You'll see practical examples involving prototype and design system. We also cover common mistakes to avoid when working with interface design.","building a design portfolio, user experience, prototype, ui/ux design, 2024, design system, tutorial, wireframe, usability, ux design",CareerLaunchpad,101217,5055
V01273,XGBoost Project Walkthrough,Machine Learning,Learn xgboost from the ground up with hands-on demonstrations. You'll see practical examples involving clustering and data. You'll also learn how regression connects to other important concepts.,"2024, model evaluation, machine learning, xgboost, accuracy, decision trees, beginners, overfitting, algorithm",SoundWave Studio,3189,281
V04636,The Ultimate Guide to Game Design Basics,Gaming,"This hands-on guide to game design basics focuses on practical, real-world usage. You'll see practical examples involving strategy and pc gaming. We wrap up with a short recap of the key gaming concepts covered.","gameplay, walkthrough, gaming, tips, game design basics, pc gaming, console, game design",Neural Nest,88861,8282
